,titles,subtitles,links
31,RIGHT ON RASH,Rashford makes fan's day as he gives him his shirt while coming off injured,https://www.thesun.co.uk/sport/21983377/marcus-rashford-man-united-fan-shirt-everton-injured/
32,GUNNER IN DOCK,Arsenal star faces trial after his dog 'attacked a masseur in his home',https://www.thesun.co.uk/sport/21981266/arsenal-star-reiss-nelson-faces-trial-dog-attack/
33,BOAT WARS,Newcastle and West Ham fans chant at each other from team BOATS on the Thames,https://www.thesun.co.uk/sport/21984496/newcastle-west-ham-fans-chant-team-boats-thames/
34,BLADES BLOW,Sheffield United set for brutal decision on Man City loanees Doyle and McAtee,https://www.thesun.co.uk/sport/21986663/sheffield-united-brutal-decision-doyle-mcatee-loan-man-city/
35,BREACH FOR THE STARS,Who is Jules Breach and what football team does she support?,https://www.thesun.co.uk/sport/21954416/who-is-jules-breach-what-football-team-does-support/
36,HOLLIE MOLY,Shearer's daughter Hollie joins no bra club and is branded 'perfection' by fans,https://www.thesun.co.uk/sport/21981605/alan-shearer-hollie/
37,TICKED OFF,Gary Lineker's Twitter account 'under review' as fans spot change to his profile,https://www.thesun.co.uk/sport/21985262/gary-lineker-twitter-under-review/
38,STAR'S PAIN,Simon Thomas says he wanted to 'let go of life' after death of wife Gemma,https://www.thesun.co.uk/sport/21982448/sky-sports-simon-thomas-emotional-death-wife/
39,FOUR FOUR CHEW,Prem stars desperate for help after becoming addicted to 'snus' drug,https://www.thesun.co.uk/sport/21979355/premier-league-stars-addicted-snus/
40,ROLEX,Win an incredible Rolex or £18k cash alternative from just 89p with our discount code,https://www.thesun.co.uk/sport/betting-tips/18922011/win-rolex-7dp/
41,SIGN HIM UP,I was skint before finding Ronaldo to start collectables empire.. now I'm rich,https://www.thesun.co.uk/sport/21909976/ronaldo-messi-launch-collectibles-empire-millionaire/
42,SABRE RATTLED,Moment 'Wigan Athletic fan' is knocked out by 'Sheffield United supporter',https://www.thesun.co.uk/sport/21983622/wigan-fan-knocked-out-fight-sheffield-united/
43,MIT-OH-MA,Fans say Brighton were 'robbed' as Mitoma's goal is ruled out after VAR review,https://www.thesun.co.uk/sport/21983967/brighton-mitoma-goal-tottenham-disallowed-handball-var-review/
44,IN FOR THE KIL,Spurs line up Kilmarnock wonderkids as they aim for early window signings,https://www.thesun.co.uk/sport/21986954/tottenham-transfer-kilmarnock-watson-brannan/
45,BIG DEAL,Bet £5 on football and get £20 in free bets with Ladbrokes,https://www.thesun.co.uk/sport/betting-tips/19780272/ladbrokes-20-football-free-bets/
46,BONUS,Best no-deposit bonuses: Top no-deposit casinos for 2023,https://www.thesun.co.uk/betting/21007381/best-no-deposit-casino-bonuses/
47,FREE SPINS,Get up to 100 free spins and 100% matched deposit bonus with Duelz Casino,https://www.thesun.co.uk/betting/21848309/matched-deposit-bonus-duelz-casino/
48,REVIEW,Best online casinos in the UK: Top 10 casino sites for 2023,https://www.thesun.co.uk/betting/20803800/the-best-online-casinos-in-the-uk/
49,TOP TEN,Premier League’s longest-serving bosses revealed with Ten Hag already in TOP 10,https://www.thesun.co.uk/sport/21949487/premier-league-longest-serving-managers-ten-hag-man-utd/
